401,2012-07-20 13:53:58.068451+00,2012-07-23 18:23:37.01738+00,t,f,"","",9781937557003
403,2011-08-11 22:32:54.188936+00,2011-08-14 04:27:13.871654+00,t,f,"","",9781905802128
404,2011-11-10 22:12:46.830713+00,2011-11-14 22:12:51.020108+00,t,f,"","",9781905490431
405,2011-10-04 02:53:46.172875+00,2011-10-04 02:54:03.393776+00,t,f,"","",9781857988130
406,2013-05-31 02:49:37.93933+00,2013-06-02 01:28:20.6149+00,t,f,"","",9781857987676
407,2013-07-31 02:25:02.25121+00,2013-08-04 04:25:06.24555+00,t,f,"","",9781849412704
409,2013-06-04 20:37:59.82639+00,2013-06-04 20:38:08.25422+00,t,f,"","",9781847946249
410,2012-01-16 04:34:28.781198+00,2012-03-09 21:16:35.382388+00,t,f,"","",9781847676566
411,2012-10-26 01:51:39.294649+00,2012-11-10 04:21:41.810668+00,t,f,"","",9781847670649
413,2012-07-04 12:01:30.445948+00,2012-07-08 02:40:01.077711+00,t,f,"","",9781846687761
414,2012-12-05 04:32:51.668617+00,2012-12-05 04:32:57.561232+00,t,f,"","",9781846685743
418,2012-11-22 13:20:00.92425+00,2013-01-07 05:17:31.695248+00,t,f,"","",9781846147524
419,2012-02-07 18:11:37.350756+00,2012-04-08 16:25:01.628619+00,t,f,"","",9781845299262
422,2012-01-16 14:08:38.643022+00,2012-01-26 03:18:14.497302+00,t,f,"","",9781841496566
423,2012-04-22 19:55:02.095801+00,2012-04-22 19:55:02.61786+00,t,f,"","",9781841496559
424,2011-12-22 00:21:51.160558+00,2011-12-24 19:40:21.357418+00,t,f,"","",9781841494159
425,2011-11-24 22:13:13.166891+00,2011-11-27 22:13:16.554239+00,t,f,"","",9781841494135
426,2013-08-04 04:33:09.15529+00,2013-08-09 03:28:40.89449+00,t,f,"","",9781782391197
427,2012-02-16 03:38:33.533882+00,2012-02-19 05:19:55.780337+00,t,f,"","",9781780331669
428,2011-11-07 22:13:51.463085+00,2011-11-10 22:13:54.421297+00,t,f,"","",9781604860887
429,2012-07-11 02:13:04.525077+00,2012-07-20 13:40:01.639696+00,t,f,"","",9781594203220
430,2013-01-21 05:10:33.390371+00,2013-01-29 02:16:12.167683+00,t,f,"","",9781594202117
431,2012-03-31 17:56:05.709321+00,2012-04-22 19:50:00.7323+00,t,f,"","",9781592406593
432,2011-12-15 23:55:36.715363+00,2011-12-18 20:17:18.461214+00,t,f,"","",9781573227889
433,2011-10-10 21:09:05.332711+00,2011-10-25 21:09:11.70319+00,t,f,"","",9781442427662
434,2011-10-25 21:10:39.729101+00,2011-10-25 21:10:45.288345+00,t,f,"","",9781442427655
435,2011-10-23 03:45:46.360862+00,2011-10-23 03:45:50.570568+00,t,f,"","",9781442427648
436,2012-12-26 22:50:01.161567+00,2012-12-26 22:50:01.658154+00,t,f,"","",9781416914280
437,2011-12-08 22:47:41.146392+00,2011-12-11 17:43:18.890624+00,t,f,"","",9781409133827
438,2013-02-19 05:10:01.75881+00,2013-02-27 05:40:01.77706+00,t,f,"","",9781409123354
439,2012-06-26 22:53:58.397578+00,2012-07-02 03:40:34.207867+00,t,f,"","",9781408470787
440,2013-08-29 01:52:17.04374+00,2013-09-01 20:20:25.10767+00,t,f,"","",9781400067886
441,2013-09-13 16:37:58.94649+00,2013-09-15 16:38:04.44633+00,t,f,"","",9781118660638
442,2013-03-18 02:11:05.39589+00,2013-03-19 22:47:39.17911+00,t,f,"","",9780930330446
443,2012-12-28 15:40:01.49735+00,2012-12-28 15:40:02.525421+00,t,f,"","",9780857862426
444,2013-03-13 14:35:34.46012+00,2013-03-16 02:23:31.20848+00,t,f,"","",9780857662385
445,2013-06-17 02:37:05.92179+00,2013-07-02 03:14:29.42154+00,t,f,"","",9780857660541
446,2013-05-25 20:11:58.80479+00,2013-05-25 20:12:06.28061+00,t,f,"","",9780857520937
447,2012-11-08 05:40:02.133208+00,2012-11-11 03:15:57.715039+00,t,f,"","",9780857520647
448,2012-03-20 13:11:51.031137+00,2012-03-23 14:55:31.189313+00,t,f,"","",9780857520173
449,2012-08-06 01:44:09.790884+00,2012-08-06 01:44:37.901952+00,t,f,"","",9780857388049
451,2013-02-11 04:54:55.308274+00,2013-02-11 04:55:14.268785+00,t,f,"","",9780765330277
